,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,1246526,-,-,-,40.81,-73.94,-5,19,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.0
1,Year,Month,Day,Hour,Minute,Dew Point,GHI,Temperature,Wind Direction,Surface Albedo,DHI,DNI,Pressure,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2017,1,4,14,30,3.4000000000000004,293,8.200000000000001,273,0.12,58,771,998,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2017,1,4,15,30,2.8000000000000003,153,6.9,273,0.12,41,628,998,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2017,1,4,16,30,1.6,18,5.300000000000001,275,0.12,12,242,999,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2017,1,4,17,30,-0.1,0,3.9000000000000004,278,0.12,0,0,1000,3.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2017,1,4,18,30,-1.6,0,2.7,280,0.12,0,0,1001,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2017,1,4,19,30,-2.9000000000000004,0,1.6,280,0.13,0,0,1002,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2017,1,4,20,30,-4.1000000000000005,0,0.7000000000000001,277,0.13,0,0,1003,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2017,1,4,21,30,-5,0,0,274,0.13,0,0,1004,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2017,1,4,22,30,-5.5,0,-0.6000000000000001,271,0.13,0,0,1004,3.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2017,1,4,23,30,-6,0,-1.2000000000000002,269,0.13,0,0,1005,3.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2017,1,5,0,30,-6.5,0,-1.8,270,0.13,0,0,1006,3.3000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2017,1,5,1,30,-7,0,-2.1,273,0.13,0,0,1007,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2017,1,5,2,30,-7.4,0,-2.3000000000000003,274,0.13,0,0,1008,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2017,1,5,3,30,-7.7,0,-2.4000000000000004,273,0.13,0,0,1009,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2017,1,5,4,30,-7.9,0,-2.6,271,0.13,0,0,1010,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2017,1,5,5,30,-8,0,-2.9000000000000004,272,0.13,0,0,1011,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2017,1,5,6,30,-8.1,0,-3.2,271,0.13,0,0,1011,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2017,1,5,7,30,-8.1,7,-2.9000000000000004,274,0.13,7,0,1012,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2017,1,5,8,30,-8.4,88,-2,278,0.13,84,23,1012,2.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2017,1,5,9,30,-9,133,-1.4000000000000001,277,0.13,126,24,1013,2.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2017,1,5,10,30,-9,243,-1.3,273,0.13,209,85,1012,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2017,1,5,11,30,-8.9,319,-1.1,269,0.13,236,188,1012,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2017,1,5,12,30,-8.8,362,-0.7000000000000001,264,0.13,198,370,1011,2.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2017,1,5,13,30,-8.6,324,-0.6000000000000001,259,0.13,157,420,1011,2.3000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2017,1,5,14,30,-8.4,203,-0.8,254,0.13,158,146,1011,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2017,1,5,15,30,-7.7,86,-1.3,254,0.13,83,18,1012,1.7000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2017,1,5,16,30,-6.7,9,-1.7000000000000002,258,0.13,9,0,1012,1.7000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2017,1,5,17,30,-6.2,0,-1.9000000000000001,255,0.13,0,0,1013,1.7000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2017,1,5,18,30,-5.9,0,-2.1,249,0.13,0,0,1012,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2017,1,5,19,30,-5.7,0,-2.2,247,0.7000000000000001,0,0,1012,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2017,1,5,20,30,-5.5,0,-1.9000000000000001,249,0.7000000000000001,0,0,1012,1.7000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2017,1,5,21,30,-5.1000000000000005,0,-1.7000000000000002,251,0.7000000000000001,0,0,1012,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2017,1,5,22,30,-4.6000000000000005,0,-1.7000000000000002,254,0.7000000000000001,0,0,1012,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2017,1,5,23,30,-4.3,0,-1.7000000000000002,260,0.7000000000000001,0,0,1012,1.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2017,1,6,0,30,-4,0,-1.7000000000000002,273,0.7000000000000001,0,0,1012,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2017,1,6,1,30,-3.9000000000000004,0,-1.7000000000000002,295,0.7000000000000001,0,0,1012,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2017,1,6,2,30,-3.8000000000000003,0,-1.7000000000000002,319,0.7000000000000001,0,0,1012,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2017,1,6,3,30,-3.8000000000000003,0,-1.8,333,0.7000000000000001,0,0,1012,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2017,1,6,4,30,-3.9000000000000004,0,-2,339,0.7000000000000001,0,0,1012,1.9000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
